timestamp,x,y,z,qx,qy,qz,qw
000000,14.0773,3.46363,32.5146,-0.0351925,0.0294688,-0.00534302,0.998932
000001,14.7643,3.45799,32.4796,-0.0338503,0.0286549,-0.00387207,0.999009
000002,15.4632,3.45923,32.4405,-0.0340144,0.028067,-0.00180411,0.999026
000003,16.1811,3.46374,32.3983,-0.0340203,0.0276149,0.000204089,0.99904
000004,16.9129,3.47032,32.357,-0.0344199,0.0273658,0.00269668,0.999029
000005,17.6587,3.47574,32.3197,-0.0339856,0.027312,0.00491434,0.999037
000006,18.42,3.49213,32.2816,-0.0345149,0.0269639,0.00722688,0.999014
000007,19.1967,3.5136,32.241,-0.0356025,0.0267324,0.00970637,0.998961
000008,19.9855,3.53781,32.1964,-0.0359677,0.0272451,0.0119155,0.99891
000009,20.7885,3.5648,32.153,-0.035694,0.0287059,0.0140874,0.998851
000010,21.6012,3.58779,32.1135,-0.0351414,0.0300719,0.0158749,0.998804
000011,22.4188,3.62286,32.0678,-0.0356695,0.0302428,0.0173006,0.998756
000012,23.2416,3.6565,32.0175,-0.0352708,0.029989,0.0183935,0.998758
000013,24.0755,3.68578,31.9717,-0.0339389,0.029627,0.0190068,0.998804
000014,24.918,3.72184,31.9246,-0.034042,0.0300881,0.0199282,0.998769
000015,25.7734,3.75762,31.881,-0.0331224,0.0301593,0.0206552,0.998783
000016,26.6319,3.79738,31.8313,-0.0340968,0.0291599,0.0216255,0.998759
000017,27.4994,3.84001,31.7832,-0.0344906,0.0279364,0.0223233,0.998765
000018,28.3768,3.88823,31.7331,-0.0360726,0.0271112,0.0229995,0.998717
000019,29.2651,3.93858,31.6864,-0.0365695,0.0272057,0.0237449,0.998678
000020,30.1642,3.98213,31.6418,-0.0361207,0.0280082,0.024242,0.998661
000021,31.0637,4.02738,31.5951,-0.0361559,0.0288953,0.0248302,0.99862
000022,31.9773,4.0778,31.5495,-0.0361499,0.0291331,0.0256345,0.998593
000023,32.8829,4.12763,31.4959,-0.035987,0.0285391,0.0262363,0.9986
000024,33.8028,4.1817,31.4503,-0.0355808,0.0283669,0.0271512,0.998595
000025,34.7253,4.23782,31.4016,-0.0355914,0.0292387,0.0268186,0.998579
000026,35.6526,4.28849,31.3475,-0.0359523,0.0309498,0.0263343,0.998527
000027,36.5909,4.34054,31.2971,-0.0361723,0.0327579,0.0263879,0.99846
000028,37.5311,4.38737,31.2414,-0.0358098,0.0343027,0.0255571,0.998443
000029,38.4768,4.43628,31.183,-0.0356466,0.0347637,0.0243222,0.998463
000030,39.4243,4.48438,31.126,-0.0359066,0.03343,0.0240787,0.998506
000031,40.3753,4.53103,31.0651,-0.0365455,0.0311078,0.0232191,0.998578
000032,41.3347,4.57537,31.009,-0.0362193,0.0296988,0.022894,0.99864
000033,42.3061,4.62043,30.954,-0.035121,0.0303202,0.0225429,0.998669
000034,43.2846,4.66303,30.8998,-0.0336821,0.0327448,0.0221744,0.99865
000035,44.2589,4.70606,30.8422,-0.0317901,0.0347016,0.022558,0.998637
000036,45.2404,4.744,30.7886,-0.0278766,0.0348653,0.0229594,0.998739
000037,46.2252,4.78791,30.7288,-0.0269073,0.0331713,0.0234829,0.998811
000038,47.2053,4.8362,30.666,-0.0272266,0.0313708,0.0244902,0.998837
000039,48.1975,4.88997,30.6038,-0.027328,0.0308294,0.0253708,0.998829
000040,49.2088,4.94285,30.5513,-0.0266241,0.0317911,0.025537,0.998813
000041,50.2023,5.00532,30.4868,-0.0278931,0.0329677,0.026195,0.998724
000042,51.2107,5.06328,30.4293,-0.0282364,0.033964,0.0263492,0.998677
000043,52.2089,5.11891,30.3656,-0.0284537,0.0351836,0.0270756,0.998609
000044,53.2152,5.17795,30.3116,-0.0286477,0.0371146,0.0270957,0.998533
000045,54.2197,5.2399,30.2329,-0.0309191,0.037999,0.0272729,0.998427
000046,55.2145,5.30214,30.1684,-0.0311081,0.038083,0.0273723,0.998415
000047,56.2038,5.35836,30.1064,-0.030971,0.0374707,0.0272261,0.998447
000048,57.2066,5.41935,30.0396,-0.0322417,0.0363422,0.0270636,0.998452
000049,58.1889,5.47389,29.9771,-0.0322463,0.0364924,0.0276471,0.998431
000050,59.1805,5.52936,29.9152,-0.0309994,0.037299,0.0281992,0.998425
000051,60.1729,5.58656,29.8509,-0.0310634,0.0378747,0.028426,0.998395
000052,61.148,5.64987,29.7942,-0.032106,0.0365716,0.0285829,0.998406
000053,62.1215,5.70997,29.7245,-0.0329543,0.0343216,0.028657,0.998456
000054,63.0939,5.77199,29.6659,-0.0333919,0.0337726,0.0291086,0.998447
000055,64.0671,5.82834,29.6035,-0.0327098,0.0355109,0.0292188,0.998406
000056,65.0456,5.88417,29.5516,-0.031112,0.0375185,0.028917,0.998393
000057,66.0079,5.94174,29.4835,-0.0304024,0.0376518,0.0292418,0.9984
000058,66.972,5.99605,29.4242,-0.0288033,0.03729,0.0292832,0.99846
000059,67.9335,6.04948,29.3678,-0.0274224,0.0369234,0.0291538,0.998516
000060,68.8839,6.10901,29.3019,-0.0270061,0.037423,0.0299073,0.998487
000061,69.8399,6.16145,29.2378,-0.0252737,0.0395809,0.0298836,0.99845
000062,70.7934,6.21986,29.1793,-0.0241421,0.0423405,0.0304124,0.998348
000063,71.7378,6.28327,29.1017,-0.0247398,0.0432578,0.0307347,0.998285
000064,72.6728,6.3463,29.0339,-0.0250819,0.0415447,0.0310271,0.99834
000065,73.595,6.40882,28.9696,-0.0265321,0.0381852,0.0320737,0.998403
000066,74.5186,6.47631,28.9126,-0.0276289,0.0359082,0.0325651,0.998442
000067,75.4263,6.5446,28.8457,-0.030155,0.0358366,0.0328127,0.998364
000068,76.3251,6.60878,28.7942,-0.0313822,0.0370357,0.0334971,0.998259
000069,77.2085,6.67515,28.7414,-0.0323517,0.0379773,0.034027,0.998175
000070,78.0775,6.7365,28.6843,-0.032798,0.0379712,0.0342678,0.998152
000071,78.9281,6.79927,28.6301,-0.0335827,0.0383055,0.0352113,0.998081
000072,79.7752,6.86424,28.5764,-0.0339292,0.0386759,0.0356191,0.99804
000073,80.6005,6.9285,28.5255,-0.0338388,0.0391653,0.036578,0.99799
000074,81.4113,6.99034,28.4707,-0.0338175,0.0398379,0.0371549,0.997942
000075,82.2177,7.05809,28.4147,-0.0347446,0.0410581,0.0375329,0.997847
000076,82.9986,7.12505,28.3559,-0.0352959,0.04301,0.0383538,0.997714
000077,83.7698,7.18977,28.3027,-0.0362312,0.0440757,0.0390875,0.997606
000078,84.5192,7.2558,28.251,-0.0377885,0.0422977,0.0395231,0.997608
000079,85.2434,7.31953,28.1977,-0.0383176,0.0385296,0.0405366,0.997699
000080,85.9539,7.37877,28.1554,-0.0381564,0.0358964,0.041007,0.997785
000081,86.6417,7.44256,28.1036,-0.0389309,0.03529,0.0414049,0.99776
000082,87.3208,7.50878,28.062,-0.0398883,0.0368961,0.0417531,0.997649
000083,87.9742,7.567,28.0251,-0.0394163,0.0380935,0.0420942,0.997609
000084,88.6,7.61755,27.9869,-0.0381681,0.0367247,0.0427606,0.99768
000085,89.2131,7.66517,27.9552,-0.0347399,0.0345388,0.0427048,0.997886
000086,89.8072,7.71248,27.9198,-0.0330184,0.032324,0.0420987,0.998044
000087,90.3844,7.7627,27.8876,-0.0341462,0.0321677,0.0407742,0.998067
000088,90.9497,7.81609,27.8457,-0.0363621,0.0332381,0.0388058,0.998032
000089,91.5092,7.85785,27.8161,-0.0356555,0.0348486,0.0363029,0.998096
000090,92.0446,7.88852,27.7887,-0.033842,0.0372214,0.0334932,0.998172
000091,92.5776,7.91427,27.7649,-0.0315603,0.0390187,0.0291262,0.998315
000092,93.0882,7.93757,27.7349,-0.0332195,0.0388847,0.0238854,0.998406
000093,93.5904,7.96144,27.7004,-0.0364339,0.0384234,0.0163533,0.998463
000094,94.0857,7.96911,27.6646,-0.0393192,0.0383531,0.00714621,0.998465
000095,94.558,7.95953,27.6369,-0.0391142,0.0385792,-0.00358589,0.998483
000096,95.03,7.92786,27.6139,-0.038029,0.0388576,-0.0168683,0.998378
000097,95.4797,7.88885,27.5895,-0.0382177,0.0392655,-0.0314698,0.998002
000098,95.9274,7.83403,27.5646,-0.0387105,0.0396409,-0.0479608,0.997311
000099,96.3745,7.76185,27.5395,-0.0393298,0.0394805,-0.0668648,0.996205
000100,96.7985,7.67024,27.5141,-0.0401899,0.0391177,-0.0874292,0.994591
000101,97.2183,7.56035,27.4927,-0.041029,0.0385522,-0.110159,0.992318
000102,97.6328,7.42863,27.4753,-0.042745,0.0370227,-0.135197,0.989204
000103,98.0137,7.27974,27.4634,-0.0440592,0.0352625,-0.161982,0.985179
000104,98.3942,7.10002,27.4489,-0.045057,0.0335054,-0.191241,0.979936
000105,98.7403,6.90776,27.437,-0.0461704,0.0319831,-0.221053,0.973643
000106,99.0719,6.69205,27.4238,-0.0472099,0.0300851,-0.252194,0.966056
000107,99.3945,6.44899,27.4238,-0.0472083,0.027804,-0.284014,0.957254
000108,99.6765,6.20326,27.4238,-0.0479075,0.0262915,-0.314866,0.947562
000109,99.9629,5.92747,27.4295,-0.0481718,0.0255391,-0.345771,0.936734
000110,100.21,5.65169,27.4302,-0.0491738,0.0254993,-0.375373,0.925217
000111,100.448,5.35478,27.434,-0.0496414,0.0245702,-0.404676,0.912781
000112,100.667,5.03547,27.4433,-0.0491905,0.0221918,-0.432969,0.899792
000113,100.846,4.72053,27.4604,-0.047232,0.0196295,-0.459283,0.886816
000114,101.03,4.38746,27.4721,-0.0486595,0.0182586,-0.484607,0.873187
000115,101.191,4.0653,27.4841,-0.0511215,0.017551,-0.50816,0.859565
000116,101.335,3.72502,27.5003,-0.0523234,0.0161034,-0.53008,0.846179
000117,101.454,3.3656,27.5146,-0.0501172,0.012952,-0.54997,0.833579
000118,101.545,3.01136,27.5428,-0.0435692,0.00952838,-0.567666,0.82205
000119,101.64,2.65095,27.5595,-0.0410468,0.00808349,-0.583237,0.811224
000120,101.738,2.28336,27.581,-0.0431704,0.00737807,-0.597468,0.800696
000121,101.842,1.92618,27.5987,-0.0492749,0.00803613,-0.610035,0.7908
000122,101.93,1.5429,27.6252,-0.0526601,0.0078745,-0.621559,0.781556
000123,101.998,1.14872,27.6543,-0.0528419,0.00596055,-0.632044,0.773106
000124,102.052,0.748126,27.6813,-0.0511201,0.00203727,-0.640908,0.765911
000125,102.099,0.343612,27.7072,-0.0507294,-0.00296328,-0.64892,0.759158
000126,102.149,-0.0786604,27.7237,-0.0528609,-0.00626735,-0.656453,0.752487
000127,102.205,-0.515477,27.753,-0.0540298,-0.00575672,-0.662974,0.746668
000128,102.257,-0.968146,27.7925,-0.0529368,-0.00416409,-0.668861,0.741489
000129,102.299,-1.44034,27.8355,-0.0516608,-0.00351952,-0.674663,0.736307
000130,102.334,-1.92166,27.8745,-0.0502637,-0.00351142,-0.679398,0.732038
000131,102.359,-2.42013,27.9146,-0.0487998,-0.0046698,-0.68394,0.727889
000132,102.379,-2.92653,27.9555,-0.0481078,-0.00591728,-0.68749,0.724574
000133,102.395,-3.45885,27.9979,-0.0477066,-0.00678764,-0.690374,0.721846
000134,102.412,-4.00738,28.0393,-0.0472439,-0.00755455,-0.692671,0.719666
000135,102.43,-4.56588,28.0857,-0.0473271,-0.00818167,-0.694341,0.718042
000136,102.449,-5.15294,28.131,-0.0474545,-0.00865806,-0.696381,0.71605
000137,102.464,-5.76,28.182,-0.0465856,-0.00948508,-0.698284,0.714241
000138,102.477,-6.37471,28.2331,-0.0460059,-0.00982931,-0.699241,0.713337
000139,102.49,-7.0141,28.2856,-0.0456017,-0.0098986,-0.700364,0.712259
000140,102.5,-7.67407,28.3351,-0.0447489,-0.0104603,-0.701424,0.711261
000141,102.506,-8.34543,28.3913,-0.0432207,-0.0115559,-0.701393,0.711369
000142,102.517,-9.03998,28.4468,-0.0418392,-0.0126804,-0.701042,0.711779
000143,102.538,-9.74524,28.502,-0.0410851,-0.0133792,-0.700173,0.712664
000144,102.559,-10.4713,28.5585,-0.0403907,-0.0139698,-0.699005,0.713839
000145,102.581,-11.2197,28.6167,-0.0399609,-0.0140038,-0.697775,0.715064
000146,102.603,-11.9736,28.6762,-0.038863,-0.0137559,-0.696231,0.716633
000147,102.633,-12.7509,28.7338,-0.038473,-0.01296,-0.69489,0.71797
000148,102.669,-13.5467,28.7931,-0.0386278,-0.0116286,-0.693696,0.719138
000149,102.709,-14.3454,28.8527,-0.038661,-0.0106586,-0.691997,0.720785
000150,102.749,-15.1551,28.913,-0.0395882,-0.0102658,-0.690799,0.721889
000151,102.796,-15.9631,28.9791,-0.0416,-0.0105054,-0.689488,0.723025
000152,102.849,-16.7772,29.0356,-0.0451352,-0.0106815,-0.688934,0.723339
000153,102.897,-17.6021,29.1065,-0.0472696,-0.0105292,-0.689224,0.722928
000154,102.943,-18.4217,29.173,-0.0479792,-0.00967848,-0.689064,0.723046
000155,102.992,-19.2463,29.2476,-0.0479897,-0.00852712,-0.688925,0.723192
000156,103.039,-20.0691,29.3229,-0.0474433,-0.00791993,-0.689043,0.723122
000157,103.086,-20.8915,29.3933,-0.0478221,-0.00707427,-0.688446,0.723675
000158,103.137,-21.7113,29.4651,-0.0483995,-0.00655898,-0.688327,0.723754
000159,103.189,-22.5265,29.5354,-0.0493276,-0.00595927,-0.688517,0.723516
000160,103.241,-23.3406,29.6038,-0.050702,-0.00522304,-0.688765,0.723191
000161,103.292,-24.1576,29.6749,-0.0514798,-0.00414094,-0.690018,0.721948
000162,103.338,-24.9686,29.7452,-0.0518844,-0.00292642,-0.691211,0.720783
000163,103.377,-25.785,29.8165,-0.051818,-0.00133167,-0.693055,0.719019
000164,103.408,-26.6034,29.8869,-0.0516567,-2.51038e-05,-0.695454,0.716711
000165,103.437,-27.4125,29.9572,-0.0519465,0.000112505,-0.697966,0.714244
000166,103.456,-28.2175,30.0223,-0.0523761,-0.000285663,-0.701094,0.711142
000167,103.465,-29.0172,30.0909,-0.0524099,-0.000545629,-0.70478,0.707487
000168,103.468,-29.8112,30.1583,-0.0519963,-0.000715104,-0.708295,0.703998
000169,103.464,-30.6065,30.2252,-0.051782,-0.000279032,-0.712177,0.700087
000170,103.448,-31.3918,30.2948,-0.0512477,-0.000453433,-0.715861,0.696359
000171,103.426,-32.1759,30.3627,-0.0512146,-0.000689952,-0.719762,0.692329
000172,103.393,-32.9614,30.4324,-0.0515408,-0.000913424,-0.723747,0.688138
000173,103.351,-33.7319,30.5005,-0.0519619,-0.0013461,-0.727167,0.68449
000174,103.305,-34.499,30.5681,-0.0520775,-0.00200787,-0.730749,0.680654
000175,103.248,-35.2605,30.6357,-0.0518476,-0.00274279,-0.734254,0.676887
000176,103.188,-36.0043,30.7058,-0.0516698,-0.00314238,-0.737352,0.673523
000177,103.119,-36.7528,30.7707,-0.051538,-0.00355874,-0.740714,0.669831
000178,103.044,-37.4878,30.8402,-0.0510278,-0.00390589,-0.743442,0.666839
000179,102.963,-38.2166,30.9082,-0.0500579,-0.00440038,-0.745976,0.664074
000180,102.876,-38.9397,30.978,-0.0484697,-0.00506898,-0.747949,0.661965
000181,102.788,-39.6526,31.0473,-0.0468099,-0.00535254,-0.749173,0.660696
000182,102.701,-40.3505,31.1114,-0.0458914,-0.00547138,-0.750098,0.659709
000183,102.613,-41.0357,31.1743,-0.0454738,-0.00556268,-0.750778,0.658964
000184,102.53,-41.7044,31.2319,-0.0455397,-0.00578583,-0.750917,0.6588
000185,102.449,-42.3566,31.2935,-0.0454314,-0.00637907,-0.750702,0.659046
000186,102.371,-42.9932,31.3519,-0.04545,-0.00701546,-0.749909,0.659941
000187,102.299,-43.6132,31.408,-0.0456207,-0.00728796,-0.748083,0.661995
000188,102.238,-44.2165,31.4623,-0.0459402,-0.00718622,-0.745603,0.664766
000189,102.185,-44.7993,31.5152,-0.0463228,-0.00679111,-0.741755,0.669034
000190,102.145,-45.3639,31.571,-0.046537,-0.00645632,-0.737155,0.674088
000191,102.115,-45.9066,31.6197,-0.0472349,-0.00638019,-0.731436,0.680242
000192,102.101,-46.4421,31.6701,-0.0484449,-0.00648658,-0.724085,0.687976
000193,102.1,-46.9689,31.717,-0.0502186,-0.0064937,-0.715582,0.696691
000194,102.115,-47.4877,31.7621,-0.0511708,-0.00611302,-0.7058,0.706534
000195,102.151,-48.0135,31.8084,-0.0513728,-0.00485065,-0.693971,0.718152
000196,102.206,-48.5287,31.8497,-0.0508248,-0.00319825,-0.680283,0.731178
000197,102.283,-49.0313,31.891,-0.0500488,-0.000718066,-0.665019,0.745147
000198,102.389,-49.5413,31.9296,-0.0492876,0.00249669,-0.647872,0.760149
000199,102.521,-50.0353,31.9627,-0.0491994,0.0059849,-0.629244,0.775626
000200,102.672,-50.5071,31.9926,-0.04931,0.00865404,-0.608771,0.791765
000201,102.854,-50.9754,32.0135,-0.0490826,0.0100068,-0.585931,0.808811
000202,103.059,-51.4211,32.0416,-0.0480902,0.00982685,-0.560774,0.826513
000203,103.279,-51.833,32.0612,-0.0480968,0.00878684,-0.533583,0.844334
000204,103.543,-52.2427,32.0836,-0.0481457,0.0075664,-0.504641,0.861952
000205,103.819,-52.6104,32.0944,-0.0497493,0.00789093,-0.474922,0.878585
000206,104.136,-52.9715,32.1006,-0.0507846,0.00856582,-0.444198,0.894447
000207,104.464,-53.3045,32.1104,-0.0506469,0.00920243,-0.413023,0.909264
000208,104.8,-53.6103,32.1185,-0.0494019,0.010775,-0.381785,0.922867
000209,105.181,-53.904,32.1279,-0.0479315,0.0142484,-0.350144,0.93536
000210,105.565,-54.1651,32.1268,-0.0458836,0.0183935,-0.31858,0.946606
000211,105.955,-54.3934,32.1242,-0.0446432,0.0225409,-0.287664,0.956425
000212,106.386,-54.6108,32.1127,-0.0433048,0.0266099,-0.257837,0.964851
000213,106.817,-54.7978,32.1042,-0.0430987,0.0304202,-0.230315,0.971685
000214,107.248,-54.9635,32.0947,-0.0438008,0.0333294,-0.2058,0.977045
000215,107.713,-55.1159,32.0689,-0.0458224,0.0352607,-0.184304,0.981167
